City_ID,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,keflavik,64.0049,-22.5624,288.1,82,20,7.2,IS,1723059360
84,lihue,21.9789,-159.3672,299.92,71,20,5.66,US,1723059362
85,tangalle,6.024,80.7911,298.96,89,5,4.65,LK,1723059363
86,talnakh,69.4865,88.3972,282.84,70,0,4.22,RU,1723059364
87,thompson,55.7435,-97.8558,291.24,52,75,5.66,CA,1723059366
88,mobaye,4.319,21.1786,294.7,91,99,0.86,CF,1723059367
89,kapuskasing,49.4169,-82.4331,295.2,46,100,4.63,CA,1723059369
90,udachny,66.4167,112.4,285.44,58,85,3.91,RU,1723059371
91,baruun-urt,46.6806,113.2792,290.04,71,92,3.12,MN,1723059373
92,katabu,-4.9333,122.5167,296.83,88,91,2.25,ID,1723059374
93,burao,9.5221,45.5336,299.19,46,1,8.74,SO,1723059375
94,mhasvad,17.6333,74.7833,295.8,86,99,6.28,IN,1723059377
95,bich'vinta,43.1592,40.3378,295.25,67,41,2.73,GE,1723059080
96,happy valley-goose bay,53.3168,-60.3315,287.32,88,75,2.57,CA,1723059379
97,la ronge,55.1001,-105.2842,289.29,48,75,3.6,CA,1723059381
98,orangeburg,33.4918,-80.8557,300.32,84,95,3.58,US,1723059382
99,cockburn town,21.4612,-71.1419,301.35,82,100,6.55,TC,1723059109
100,fisterra,42.9049,-9.2629,292.45,81,1,10.42,ES,1723059385
101,yellowknife,62.456,-114.3525,294.49,48,75,6.71,CA,1723059386
102,bandarbeyla,9.4942,50.8122,298.45,85,34,13.96,SO,1723059388
103,atafu village,-8.5421,-172.5159,301.66,69,85,8.58,TK,1723059389
104,walvis bay,-22.9575,14.5053,285.42,86,0,2.69,NA,1723059390
105,stanley,54.868,-1.6985,289.1,73,20,3.6,GB,1723059297
106,kayangel,8.0823,134.7173,301.52,78,97,4.8,PW,1723059393
107,balashov,51.5502,43.1667,291.96,61,17,0.54,RU,1723059394
108,flying fish cove,-10.4217,105.6791,297.97,83,40,6.17,CX,1723059396
109,balabac,7.9868,117.0645,299.88,85,100,2.57,PH,1723059397
110,afaahiti,-17.75,-149.2833,299.08,83,36,8.08,PF,1723059398
111,nerchinsk,51.9833,116.5833,286.96,76,6,0.77,RU,1723059400
112,pulandian,39.3953,121.9669,296.41,96,95,0.95,CN,1723059401
113,alice springs,-23.7,133.8833,279.9,76,0,1.54,AU,1723059403
114,saipan,15.1355,145.701,301.54,83,40,0.0,MP,1723059404
115,kirkuk,35.4681,44.3922,308.29,15,0,1.02,IQ,1723059405
116,awjilah,29.1081,21.2869,307.02,22,0,3.41,LY,1723059407
117,whitehorse,60.7161,-135.0538,297.65,36,0,7.2,CA,1723059408
118,minas de marcona,-15.2119,-75.1103,284.76,83,84,10.53,PE,1723059409
119,sorong,-0.8833,131.25,297.8,91,61,4.18,ID,1723059149
120,nguruka,-5.1092,31.0419,295.94,26,10,1.86,TZ,1723059412
121,codrington,-38.2667,141.9667,284.42,59,100,8.45,AU,1723059413
122,badger,64.8,-147.5333,295.57,57,75,3.09,US,1723059139
123,mahina,-17.5065,-149.489,300.02,78,75,6.17,PF,1723059416
124,hualien city,23.9769,121.6044,300.0,93,81,1.56,TW,1723059417
125,bilibino,68.0546,166.4372,280.47,60,0,1.75,RU,1723059419
126,fort mcmurray,56.7268,-111.381,293.92,40,0,2.57,CA,1723059420
